product,consom,unit,tax,currency,geo\time	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 
6000,4262733,KWH,I_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0416 	0.0416 	0.0427 	0.0437 	0.0449 	0.0449 	0.0472 	0.0472 	0.0480 	0.0472 	0.0479 	0.0479 	0.0482 	0.0485 	0.0481 	0.0481 	0.0476 	0.0476 
6000,4262733,KWH,X_TAX,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0354 	0.0354 	0.0372 	0.0372 	0.0372 	0.0372 	0.0391 	0.0391 	0.0398 	0.0398 	0.0404 	0.0404 	0.0406 	0.0409 	0.0406 	0.0406 	0.0401 	0.0401 
6000,4262733,KWH,X_VAT,NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0354 	0.0354 	0.0372 	0.0372 	0.0372 	0.0372 	0.0391 	0.0391 	0.0398 	0.0398 	0.0404 	0.0404 	0.0406 	0.0409 	0.0406 	0.0406 	0.0401 	0.0401 
6000,4262734,KWH,I_TAX,NAC,PT	: 	: 	: 	0.0560 	0.0540 	: 	0.0515 	0.0505 	0.0506 	: 	0.0492 	0.0453 	0.0453 	0.0447 	0.0447 	0.0450 	0.0450 	0.0500 	0.0500 	0.0519 	0.0519 	0.0538 	0.0538 	0.0572 	0.0572 	0.0608 	0.0608 	0.0704 	0.0704 	0.0697 	0.0661 	0.0661 
6000,4262734,KWH,X_TAX,NAC,PT	: 	: 	: 	0.0534 	0.0514 	: 	0.0490 	0.0481 	0.0482 	: 	0.0469 	0.0431 	0.0431 	0.0426 	0.0426 	0.0428 	0.0428 	0.0476 	0.0476 	0.0494 	0.0494 	0.0512 	0.0512 	0.0545 	0.0545 	0.0579 	0.0579 	0.0670 	0.0670 	0.0663 	0.0612 	0.0612 
6000,4262734,KWH,X_VAT,NAC,PT	: 	: 	: 	0.0534 	0.0514 	: 	0.0490 	0.0481 	0.0482 	: 	0.0469 	0.0431 	0.0431 	0.0426 	0.0426 	0.0428 	0.0428 	0.0476 	0.0476 	0.0494 	0.0494 	0.0512 	0.0512 	0.0545 	0.0545 	0.0579 	0.0579 	0.0670 	0.0670 	0.0663 	0.0612 	0.0612 
6000,4262800,KWH,I_TAX,NAC,BE	: 	0.0835 	0.0744 	0.0658 	0.0561 	0.0565 	0.0541 	0.0512 	0.0516 	0.0511 	0.0514 	0.0519 	0.0500 	0.0503 	0.0475 	0.0471 	0.0473 	0.0503 	0.0496 	0.0505 	0.0491 	0.0493 	0.0496 	0.0493 	0.0506 	0.0483 	0.0478 	0.0491 	0.0496 	0.0496 	0.0464 	0.0456 
6000,4262800,KWH,I_TAX,NAC,EL	: 	0.0476 	0.0476 	0.0460 	0.0456 	0.0445 	0.0445 	0.0434 	0.0434 	0.0420 	0.0420 	0.0418 	0.0407 	0.0395 	0.0395 	0.0395 	0.0395 	0.0419 	0.0419 	: 	0.0405 	0.0405 	0.0405 	0.0405 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0385 	0.0364 
6000,4262800,KWH,I_TAX,NAC,ES	: 	: 	0.0398 	0.0379 	: 	: 	0.0373 	0.0367 	0.0367 	0.0374 	0.0374 	0.0356 	0.0356 	0.0351 	0.0351 	0.0344 	0.0344 	0.0344 	0.0344 	0.0316 	0.0316 	0.0367 	0.0367 	0.0367 	0.0367 	0.0370 	0.0370 	0.0370 	0.0370 	0.0361 	0.0361 	0.0376 
6000,4262800,KWH,I_TAX,NAC,IT	0.1004 	0.0967 	0.0948 	0.0814 	0.0833 	0.0722 	0.0716 	0.0742 	0.0728 	0.0699 	0.0670 	0.0685 	0.0765 	0.0675 	0.0610 	0.0509 	0.0550 	0.0591 	0.0591 	0.0569 	0.0574 	0.0536 	0.0536 	0.0536 	0.0511 	0.0483 	0.0483 	: 	: 	: 	: 	: 
